StartTime: 2022-10-17 17:21:24.977
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3 
0x50	17:43:04.461	0.0000	0.0000	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	134.7858	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.465	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7858	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.485	-0.0005	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7858	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.504	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	134.7858	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.524	0.0000	0.0000	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	134.7858	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.544	0.0000	-0.0005	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	134.7858	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.564	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	134.7858	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.588	0.0010	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	134.7803	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.603	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	134.7803	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.624	0.0000	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7803	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.643	0.0005	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7803	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.663	0.0000	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7748	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.682	0.0000	-0.0005	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7748	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.702	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7803	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.722	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7748	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.742	0.0000	0.0000	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7748	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.761	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7748	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.812	0.0000	-0.0005	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7748	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.812	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7748	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.821	-0.0005	0.0000	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7748	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.840	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7693	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.860	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7693	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.880	0.0000	0.0000	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	134.7693	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.899	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7693	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.919	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7693	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.945	0.0000	0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7693	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.959	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7638	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.978	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7638	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:04.999	0.0000	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	134.7638	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.018	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	134.7638	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.038	0.0000	-0.0005	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	134.7638	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.058	0.0000	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	134.7638	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.078	0.0000	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	134.7638	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.097	0.0000	-0.0005	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7583	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.117	0.0000	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	134.7583	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.147	0.0000	-0.0005	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7583	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.157	0.0000	-0.0005	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7583	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.176	0.0000	0.0000	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7583	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.196	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.216	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.235	0.0005	-0.0005	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.255	0.0000	0.0000	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.275	0.0000	-0.0005	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.295	0.0000	0.0005	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.315	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.375	0.0000	-0.0005	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.375	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.376	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.393	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.413	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.433	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.452	0.0000	0.0000	1.0015	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.472	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.492	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.512	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.532	0.0005	0.0000	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.552	0.0000	-0.0005	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7473	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.585	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7473	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.591	-0.0005	0.0000	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	134.7473	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.610	-0.0010	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7473	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.631	0.0000	0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	134.7418	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.651	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7418	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.670	0.0000	0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	134.7418	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.690	0.0000	0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	134.7418	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.710	0.0000	0.0000	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	134.7418	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.730	0.0005	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	134.7363	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.749	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	134.7418	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.792	0.0000	-0.0005	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	134.7418	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.793	0.0005	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7418	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.808	0.0000	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	134.7473	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.828	0.0000	0.0000	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	134.7473	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.848	0.0000	0.0000	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	134.7473	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.868	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:43:05.888	0.0005	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	134.7528	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
