StartTime: 2022-10-17 17:21:24.977
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3 
0x50	17:32:34.788	0.0000	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	135.1868	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:34.876	0.0000	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	135.1923	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:34.992	0.0000	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	135.1923	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:35.074	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	135.1868	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:35.194	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	135.1813	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:35.271	0.0000	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	135.1868	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:35.370	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	135.1868	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:35.469	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	135.1868	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:35.567	0.0000	-0.0005	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	135.1868	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:35.666	0.0000	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	135.1813	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:35.765	-0.0005	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	135.1758	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:35.864	0.0000	0.0000	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	135.1758	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:35.963	0.0000	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	135.1703	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:36.062	0.0000	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	135.1648	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
0x50	17:32:36.161	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	135.1648	22.6200	189	-271	-287	-0.30145	-0.00043	0.00360	-0.95346 
