accel(m/s2),position(m),speed(m/s),timestamp(s)
0.05;0.05;0.05;0.1
-0.023543999999999586,0.0,0.0,55895.14
0.05;0.05;0.05;0.1
-0.00490499999999946,-0.006695257842929243,-0.000442783400186628,55895.261
-0.00490499999999946,-0.010981661722357674,-0.0007245546548702098,55895.338
-0.00490499999999946,-0.016525989323052916,-0.0010868319822786895,55895.437
0.01962000000000002,-0.02198599761706675,0.0009788656903346904,55895.536
0.01962000000000002,-0.02718937732003179,0.003023697729811627,55895.634
0.00980999999999892,-0.03229051707754248,0.004118205402405484,55895.733
0.00490499999999946,-0.03806326806359069,0.004819377570830353,55895.847
0.0,-0.042331677310442295,0.004925256380613379,55895.932
-0.01471499999999947,-0.049387070218423826,0.0030664837423939268,55896.07
-0.01471499999999947,-0.05269034894785709,0.0022179136249139593,55896.133
-0.01962000000000002,-0.058125043133025994,0.0003621025636884488,55896.234
0.0,-0.06315503773643433,0.00047670080487176737,55896.326
-0.00490499999999946,-0.07034438764349889,-2.676264759473527e-06,55896.457
-0.00981000000000001,-0.0739983036153521,-0.0005679244830352802,55896.523
0.0,-0.0795586917581818,-0.00044336117740872527,55896.623
0.0,-0.08505114425251607,-0.0003200435048341765,55896.722
0.00980999999999892,-0.09042892467660348,0.0007634085346609253,55896.82
-0.00981000000000001,-0.09584998087444238,-8.446379278394126e-05,55896.919
0.0,-0.10130690252729704,3.885387978154421e-05,55897.018
0.00490499999999946,-0.10672757877846759,0.000647766552365747,55897.117
-0.00490499999999946,-0.112136046580053,0.00028548922493064214,55897.216
0.0,-0.11761109335208735,0.00041005253055719686,55897.316
0.00490499999999946,-0.12288673050797727,0.0010066639370263277,55897.413
0.0,-0.12823563051597964,0.0011299816096008767,55897.512
0.00490499999999946,-0.14507737542490295,0.0030797322884147053,55897.829
-0.00490499999999946,-0.14507737542490295,0.0030797322884147053,55897.829
-0.00981000000000001,-0.14507737542490295,0.0030797322884147053,55897.829
0.00490499999999946,-0.15055717894860254,0.003731699392379285,55897.935
0.043163999999999605,-0.1540427251773469,0.006840373706306189,55898.005
-0.00490499999999946,-0.15888680850160677,0.00647443701191331,55898.105
-0.01962000000000002,-0.16379054678482086,0.00465537468458272,55898.204
-0.01471499999999947,-0.16983790132179172,0.003065989385194463,55898.322
-0.00981000000000001,-0.17397414086399043,0.002389404396658819,55898.401
0.0,-0.1791335030141178,0.002511476436181362,55898.499
-0.00490499999999946,-0.1844104760650296,0.0021455397418151086,55898.599
0.01962000000000002,-0.1895504795579811,0.004211237414276672,55898.698
0.00490499999999946,-0.19455808983922834,0.004820150086860874,55898.797
0.01471500000000056,-0.20038110921872235,0.006703504787537716,55898.915
0.00490499999999946,-0.204184066886646,0.007189404798971196,55898.994
0.00490499999999946,-0.2088968385968026,0.0077983174715554,55899.093
0.00490499999999946,-0.2135493279523722,0.008407230144139601,55899.192
0.00490499999999946,-0.2180953893688755,0.009009992183643893,55899.29
0.0,-0.22265195988044684,0.009133309856218443,55899.389
0.00980999999999892,-0.2279106652626248,0.010415763290686731,55899.505
0.0,-0.23156952114246243,0.010517905201304675,55899.587
-0.00981000000000001,-0.237898186386703,0.009318893829189372,55899.727
0.00980999999999892,-0.2404881226393968,0.009949064913405203,55899.784
-0.00490499999999946,-0.2455686187071005,0.009539215815705415,55899.896
0.048068999999999064,-0.2493035792824347,0.013780274258692125,55899.982
0.00490499999999946,-0.25474720280712687,0.014598308455143054,55900.115
0.0,-0.257335212310485,0.014678028970743325,55900.179
-0.00981000000000001,-0.2616268723730269,0.01377877044162569,55900.284
0.00490499999999946,-0.2654425790454712,0.014350779315864677,55900.377
0.0,-0.270609596604524,0.014508974714013212,55900.504
0.0,-0.2734464853607562,0.014596169027952705,55900.574
-0.00490499999999946,-0.27751498915250844,0.014230232333586453,55900.674
0.0,-0.2815547558892252,0.014353550006161002,55900.773
0.0,-0.2855416317692606,0.014475622045674482,55900.871
-0.05297399999999961,-0.28981670401149046,0.00935451371814423,55900.97
-0.15794100000000003,-0.2951745533341937,-0.006315022975999384,55901.07
-0.25407900000000033,-0.3024070367243959,-0.031092692936012672,55901.168
-0.34923599999999966,-0.312645204080961,-0.06554373926412925,55901.267
-0.5169869999999998,-0.32921444877328565,-0.12279103099341074,55901.378
-0.603315,-0.3469686423414134,-0.1751710659172337,55901.465
-0.7328069999999999,-0.3733502583089797,-0.24759564124610942,55901.564
-0.6611940000000002,-0.406183208519129,-0.31227058120536433,55901.662
-0.7092630000000003,-0.4473380615393136,-0.38448835263803316,55901.764
-0.6611940000000002,-0.49257917721024574,-0.44784339586313177,55901.86
-0.7328069999999999,-0.5453802929984772,-0.5195364098222534,55901.958
-0.6847379999999997,-0.6056185158788125,-0.5872021541510339,55902.057
-0.6994530000000003,-0.672627758305334,-0.6563246834798436,55902.156
-0.6994530000000003,-0.7464801311298648,-0.7254472128035733,55902.255
-0.6994530000000003,-0.8271756343632612,-0.794569742132383,55902.354
-0.5650559999999999,-0.9140556555018202,-0.8503869684609267,55902.453
-0.49834799999999957,-1.0118722060156524,-0.9025827169879914,55902.558
-0.3786659999999997,-1.1015756385337456,-0.937305390748395,55902.65
-0.25407900000000033,-1.2214632652676372,-0.9673925614143882,55902.769
-0.09123299999999976,-1.3025198107924558,-0.9745015634027533,55902.848
-0.07161299999999975,-1.4442385032812857,-0.9841418926742145,55902.985
0.03825900000000015,-1.5075571712401923,-0.9817321100577213,55903.046
0.048068999999999064,-1.6099616477336012,-0.9768499613854106,55903.145
0.00980999999999892,-1.7120702797454581,-0.9757554537128167,55903.244
0.01962000000000002,-1.829453009802008,-0.9733767715443712,55903.358
-0.03335399999999959,-1.9149261541183944,-0.9760417660006584,55903.441
-0.01962000000000002,-2.0574017015240202,-0.9785774286388732,55903.579
0.048068999999999064,-2.1183012271801718,-0.9756678652884979,55903.638
0.03335400000000068,-2.2294227194536846,-0.9719311049184132,55903.746
-0.03335399999999959,-2.3219848387253847,-0.9748208579434691,55903.836
0.023543999999999586,-2.453613638580138,-0.9716477849123399,55903.964
0.0,-2.5254815005099283,-0.9715605905984004,55904.034
0.0529740000000007,-2.626854959631852,-0.9661928469257209,55904.133
-0.028449000000000134,-2.728096025541686,-0.9688859802532027,55904.232
0.00490499999999946,-2.828416821575308,-0.9682832182136984,55904.33
-0.04806900000000015,-2.9299609820451797,-0.9729187315408784,55904.429
0.0,-3.0594832727984844,-0.9727617817757819,55904.555
-0.03335399999999959,-3.1335711635545778,-0.9750735841957331,55904.627
-0.06670800000000028,-3.235878910683668,-0.9815543585232905,55904.726
0.0961380000000003,-3.3370031069217525,-0.9720107624839561,55904.824
0.08632799999999921,-3.4382576817833406,-0.9633409728112108,55904.923
0.25407900000000033,-3.5368385335397035,-0.9383191587721704,55905.021
0.3590459999999997,-3.6343788151101344,-0.9022899954670665,55905.121
