accel(m/s2),position(m),speed(m/s),timestamp(s)
0.05;0.05;0.05;0.1
0.0,0.0,0.0,56997.139
0.05;0.05;0.05;0.1
0.00490499999999946,-0.0010881401100646193,0.0008808348091448343,56997.238
0.00980999999999892,-0.0020744178035698975,0.002261066939722052,56997.338
-0.023543999999999586,-0.0030668344823340217,0.0003450024276455566,56997.436
-0.01471499999999947,-0.004229320413916678,-0.0007272654418418012,56997.536
-0.00490499999999946,-0.005412649573429123,-0.0008157952752611071,56997.633
0.0,-0.006605590368325371,-0.0004205554660611905,56997.732
-0.00981000000000001,-0.007807476327020101,-0.0009965056568383593,56997.831
0.023543999999999586,-0.008902930077688245,0.0017295901524081113,56997.93
-0.01471499999999947,-0.009915988572743081,0.0006680449615789588,56998.029
0.00490499999999946,-0.01092790930736746,0.0015399824494493793,56998.127
0.01471500000000056,-0.011823747236775754,0.0034107145799191973,56998.227
0.0,-0.012606086953137655,0.0038099467104103744,56998.327
0.01471500000000056,-0.013257004243871516,0.005624556877021906,56998.424
0.00980999999999892,-0.013782751250147274,0.007046195971472253,56998.527
0.0,-0.014180603248509227,0.007425466495449036,56998.622
-0.00490499999999946,-0.01463358012354734,0.007324159160303354,56998.733
0.00980999999999892,-0.014936620053297257,0.008524961113829211,56998.82
-0.00490499999999946,-0.015280606688220209,0.008420003063902665,56998.935
0.00490499999999946,-0.01549487298996485,0.009149583410929312,56999.017
0.00490499999999946,-0.015734422399051318,0.010368516429731859,56999.154
0.00490499999999946,-0.015778097960697186,0.010911253029283717,56999.215
-0.00490499999999946,-0.015834097925921248,0.01082089783847398,56999.314
-0.00490499999999946,-0.01589904305503565,0.010730542647664243,56999.413
-0.00490499999999946,-0.015972933348040393,0.010640187456854506,56999.512
-0.057879000000000166,-0.016309072886134878,0.005359292944841908,56999.61
-0.1432259999999995,-0.01843260229073763,-0.013576487357487618,56999.746
-0.3256920000000001,-0.020596839458921844,-0.033521867435961555,56999.808
-0.42673499999999986,-0.027206112377392108,-0.07579613530792526,56999.908
-0.48363300000000015,-0.0380574822541963,-0.12280092181914481,57000.006
-0.5797710000000005,-0.054168118362792034,-0.17980301101109233,57000.105
-0.7328069999999999,-0.07667191421761554,-0.25195566419803983,57000.204
-0.7563509999999996,-0.1064342001120121,-0.32643917339033673,57000.303
-0.7475220000000005,-0.1431157826983776,-0.3993050819010648,57000.401
-0.7092630000000003,-0.18771601706214866,-0.4698321497695415,57000.501
-0.7229969999999999,-0.23833234228742933,-0.5402946082855467,57000.599
-0.6994530000000003,-0.29636135499353183,-0.6091452154726709,57000.698
-0.6896430000000003,-0.36115850391081067,-0.6770246326648359,57000.797
-0.6710040000000002,-0.43258437471074457,-0.743058788856964,57000.896
-0.6710040000000002,-0.5105476269738298,-0.8090929450490921,57000.995
-0.5317020000000002,-0.5943656112426875,-0.8613362032371049,57001.094
-0.4738230000000001,-0.6830720420391021,-0.9078494404288427,57001.193
-0.3355020000000001,-0.7757054412570636,-0.9406688986203068,57001.292
-0.2589839999999998,-0.8849239647737923,-0.9694829583122218,57001.405
-0.1196819999999999,-0.9697082168375394,-0.9794322706803378,57001.491
-0.0765180000000003,-1.073151329952995,-0.9869749412645746,57001.595
0.01471500000000056,-1.1649242889466767,-0.9852538677045751,57001.687
0.0,-1.263576598914023,-0.9848586278953751,57001.786
0.03825900000000015,-1.3610099676787994,-0.9807179984075668,57001.884
0.0,-1.4592132265857334,-0.9803227585983668,57001.983
0.00980999999999892,-1.5573292828465535,-0.9789563287891476,57002.082
-0.03335399999999959,-1.6704277273606816,-0.9823035601604221,57002.196
-0.00490499999999946,-1.7539021966359374,-0.9823802251708004,57002.28
0.03825900000000015,-1.8708823292360308,-0.9773945692567204,57002.398
-0.00981000000000001,-1.9500040157177885,-0.9778599835523331,57002.478
-0.043163999999999605,-2.0481358563288294,-0.9817379797429335,57002.577
-0.04806900000000015,-2.1466756555224764,-0.9861015709338288,57002.676
-0.00981000000000001,-2.24446166004301,-0.9866717034459309,57002.774
-0.00490499999999946,-2.3442767665677797,-0.9867629713154393,57002.874
-0.03335399999999959,-2.443241929062326,-0.9896697775060916,57002.973
-0.028449000000000134,-2.5414671223122345,-0.992066532018337,57003.071
0.00490499999999946,-2.6397670315890416,-0.9911945945304667,57003.169
-0.043163999999999605,-2.7402257222149884,-0.9951117623999126,57003.269
-0.028449000000000134,-2.8672511305156094,-0.9981933039154025,57003.395
-0.00981000000000001,-2.938945203135989,-0.9986063591027703,57003.466
-0.01962000000000002,-3.039015557561787,-1.0001534992936092,57003.565
-0.01471499999999947,-3.1392150419066107,-1.0012150444843604,57003.664
0.01962000000000002,-3.2605676766566183,-0.9983815659277021,57003.784
0.00490499999999946,-3.339302778506335,-0.9976875748659026,57003.862
0.023543999999999586,-3.479315446128614,-0.9938600262046338,57004.001
0.03825900000000015,-3.538549410479172,-0.9913671982475939,57004.06
-0.01962000000000002,-3.637903087980294,-0.9929143384384328,57004.159
0.0765180000000003,-3.7359421966602815,-0.9850243269506956,57004.257
-0.00490499999999946,-3.835592565535518,-0.9851155948202039,57004.357
0.0,-3.934231186480062,-0.9847203550110332,57004.456
-0.043163999999999605,-4.032041997748159,-0.988559179523073,57004.554
0.07161300000000083,-4.135633216942483,-0.9806962261068545,57004.658
-0.057879000000000166,-4.22913037811976,-0.985761573904043,57004.752
0.06670799999999918,-4.32651562349539,-0.9788329424162877,57004.85
0.0,-4.425522328909943,-0.9784337102857965,57004.95
-0.00490499999999946,-4.522533329284189,-0.9785231527979144,57005.048
0.023543999999999586,-4.620403921096574,-0.9757970569888683,57005.147
