address;Time(s);ax(g);ay(g);az(g);wx(deg/s);wy(deg/s);wz(deg/s);AngleX(deg);AngleY(deg);AngleZ(deg);T(°);hx;hy;hz;q0;q1;q2;q3 
0x50;60811.735;0.3892;0.1045;0.9380;11.2915;-5.7373;-13.6108;4.6527;-20.2368;87.2864;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60811.827;0.4336;0.1763;1.0029;2.0142;4.3335;-4.3945;6.5314;-20.3412;85.8197;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60811.926;0.3457;0.0977;0.9189;-2.7466;8.1787;1.8921;6.1359;-20.2588;86.2317;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60812.061;0.3672;0.1221;0.9453;0.4272;-1.0986;1.6479;6.1853;-20.0830;86.4075;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60812.124;0.3555;0.1089;0.9297;0.0000;3.3569;-0.0610;6.2073;-20.0116;86.5997;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60812.223;0.3159;0.0757;0.8823;2.8076;8.7280;-8.9111;6.2842;-19.5172;86.5393;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60812.322;-0.0059;0.0073;0.5664;123.3521;-21.4233;-95.8252;10.2612;-18.6383;84.2871;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60812.465;0.8066;0.8325;1.2158;-105.5298;-10.5591;43.9453;22.2089;-21.8628;77.4261;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60812.519;0.3472;0.0435;0.6509;-80.7495;-10.0098;93.6279;8.3551;-24.8895;85.5066;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60812.638;0.0684;-0.2988;0.4521;40.3442;35.2173;-70.5566;3.2794;-22.8351;91.1591;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60812.717;0.6479;1.0054;1.5464;197.9370;-30.2734;-121.8872;20.2588;-19.4019;79.2279;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60812.863;-0.0537;-0.0850;0.3887;-173.0957;8.0566;199.7070;4.4440;-21.2860;89.0002;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60812.915;0.0659;-0.2158;0.4229;81.4209;36.8652;-101.5625;4.0375;-21.7365;90.6647;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60813.014;1.3237;1.3506;1.4922;-46.3257;-15.9302;47.6074;20.1764;-23.6206;81.4087;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60813.112;-0.0107;-0.3071;0.4053;23.0713;-65.0635;-37.2314;2.4609;-27.0374;94.3066;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60813.21;0.7783;0.9419;1.5874;173.3398;-131.8359;-89.9048;13.4143;-30.1740;86.3031;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60813.312;0.0771;-0.0342;0.4229;-116.6382;-31.9214;162.7808;2.4225;-33.5522;95.3778;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60813.409;0.0933;-0.1455;0.3789;52.3682;-32.5317;-117.0044;0.0165;-34.6124;98.4485;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60813.507;0.9219;0.6626;1.0986;-66.9556;-37.2925;145.0195;7.0313;-41.0394;91.8787;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60813.657;0.1665;-0.3730;0.1924;13.9160;-77.6978;-32.7759;-7.8058;-41.5063;110.0555;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60813.705;1.8921;1.3223;0.8496;89.9658;-159.4238;-189.7583;18.2373;-57.1399;82.0679;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60813.804;0.3433;-0.1143;0.2080;16.8457;-11.6577;125.5493;-0.6372;-65.6708;101.4258;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60813.903;0.5063;-0.0220;0.4380;-33.0811;-94.0552;-142.8833;17.4133;-64.9951;80.4474;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60814.002;0.8887;0.8955;0.6133;66.2231;96.9238;-216.1865;39.0289;-51.1798;56.4258;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60814.1;0.3916;0.5977;0.5552;-89.1724;203.6133;118.1641;32.0691;-37.3920;65.7422;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60814.199;0.4082;0.4810;0.9106;46.2646;123.5962;9.5825;19.0558;-26.6968;83.4576;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60814.307;0.3521;0.3486;0.9160;-226.3184;171.7529;81.2378;5.8282;-14.7052;93.0762;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60814.396;0.2871;0.2148;1.1567;-153.7476;63.1104;-7.0801;-10.9424;-2.4335;95.2020;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60814.496;-0.0366;-0.4375;0.8213;-82.0313;-93.5669;25.0854;-21.9507;-6.4380;98.4485;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60814.594;0.3188;-0.2915;0.9243;104.7363;-273.6816;-128.2349;-19.5062;-30.2069;103.9746;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60814.708;0.4824;-0.0391;0.5869;183.2886;-290.0391;-264.6484;16.5729;-53.6133;76.0419;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
0x50;60814.791;0.8262;0.8232;0.3184;4.5166;28.7476;-80.6885;52.7124;-48.3124;43.0609;23.8900;200;80;-1232;0.82797;0.00000;-0.00003;0.56073 
