address;Time(s);ax(g);ay(g);az(g);wx(deg/s);wy(deg/s);wz(deg/s);AngleX(deg);AngleY(deg);AngleZ(deg);T(°);hx;hy;hz;q0;q1;q2;q3 
0x50;63168.279;0.0000;0.0049;0.9980;0.0000;0.0000;0.0000;0.2747;-0.0055;-92.5049;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63168.408;0.0010;0.0044;0.9995;0.0000;0.0000;0.0000;0.2747;-0.0055;-92.5159;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63168.476;0.0005;0.0049;0.9985;0.0000;0.0000;0.0000;0.2747;-0.0055;-92.5214;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63168.578;0.0000;0.0059;1.0005;0.0000;0.0000;0.0000;0.2747;-0.0055;-92.5214;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63168.674;0.0000;0.0054;1.0010;0.0000;0.0000;0.0000;0.2747;-0.0055;-92.5214;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63168.806;-0.0005;0.0059;1.0000;0.0000;0.0000;0.0000;0.2747;-0.0055;-92.5214;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63168.871;0.0000;0.0054;0.9990;0.0000;0.0000;0.0000;0.2747;-0.0055;-92.5214;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63168.97;0.0005;0.0049;0.9985;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5159;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63169.068;0.0000;0.0049;0.9980;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5159;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63169.197;0.0010;0.0044;0.9990;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5104;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63169.265;-0.0010;0.0068;1.0000;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5049;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63169.364;-0.0005;0.0059;1.0010;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5104;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63169.463;0.0005;0.0049;0.9985;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5104;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63169.562;-0.0010;0.0044;0.9980;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5269;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63169.66;-0.0005;0.0054;0.9990;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5433;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63169.788;0.0005;0.0044;0.9980;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5543;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63169.858;0.0000;0.0054;1.0000;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5653;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63169.957;-0.0049;0.0078;1.0063;0.0000;0.0000;0.0000;0.2802;0.0000;-92.5653;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63170.055;0.0063;0.0083;0.9951;0.0610;0.2441;-0.1221;0.2802;-0.0055;-92.5653;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63170.154;0.0000;-0.0005;1.0005;0.1221;0.2441;0.0000;0.2747;-0.0055;-92.5543;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63170.253;0.0005;0.0059;0.9966;-0.0610;0.0000;0.0000;0.2856;0.0000;-92.5433;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63170.351;0.0000;0.0063;0.9995;0.1831;0.0610;0.0000;0.2802;0.0000;-92.5378;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63170.449;-0.0020;0.0049;0.9995;0.0000;0.0000;0.0000;0.2802;0.0000;-92.5323;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63170.549;-0.0015;0.0063;0.9990;0.0000;0.0000;0.0000;0.2802;0.0000;-92.5378;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63170.647;-0.0029;0.0024;0.9995;0.0000;0.0000;0.0000;0.2802;0.0000;-92.5378;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63170.746;0.0005;0.0049;1.0005;0.0000;0.0000;0.0000;0.2802;0.0000;-92.5433;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63170.845;0.0000;0.0029;0.9995;0.0000;0.0000;0.0000;0.2802;0.0000;-92.5433;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63170.944;-0.0020;0.0054;0.9966;0.0000;0.0000;0.0000;0.2802;0.0000;-92.5378;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63171.042;0.0000;0.0049;1.0000;0.0000;0.0000;0.0000;0.2802;0.0000;-92.5378;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63171.141;0.0000;0.0049;0.9985;0.0000;0.0000;0.0000;0.2802;0.0000;-92.5378;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63171.239;0.0005;0.0054;0.9990;0.0000;0.0000;0.0000;0.2747;0.0000;-92.5433;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63171.338;0.0005;0.0044;1.0000;0.0000;0.0000;0.0000;0.2802;0.0000;-92.5433;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63171.437;0.0010;0.0049;0.9985;0.0000;0.0000;0.0000;0.2802;0.0000;-92.5433;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63171.535;0.0000;0.0044;0.9990;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5378;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63171.665;0.0000;0.0054;0.9990;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5378;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63171.732;0.0000;0.0049;0.9985;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5269;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63171.833;0.0000;0.0049;0.9995;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5214;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63171.93;0.0000;0.0054;0.9980;0.0000;0.0000;0.0000;0.2802;-0.0055;-92.5159;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63172.049;-0.0020;0.0039;0.9951;-0.0610;0.0610;-0.1221;0.2747;-0.0275;-92.5159;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63172.128;-0.0015;0.0068;0.9409;0.2441;0.7324;-0.1831;0.2966;0.0165;-92.5269;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63172.227;0.0024;-0.0010;0.9458;0.1221;-0.0610;-0.0610;0.2802;0.0165;-92.5269;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63172.325;-0.0024;0.0039;0.9453;-0.1831;-0.0610;0.0000;0.2747;0.0165;-92.5323;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63172.423;0.0039;0.0049;0.9360;-0.3662;0.0000;0.0000;0.2802;0.0220;-92.5323;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63172.522;0.0005;0.0054;0.9390;-0.2441;-0.0610;0.0000;0.2802;0.0275;-92.5323;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63172.64;-0.0024;0.0083;0.9302;0.0000;0.1221;-0.1221;0.2802;0.0385;-92.5433;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63172.719;0.0010;0.0029;0.9370;0.0610;0.1831;0.0000;0.2747;0.0330;-92.5269;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63172.861;-0.0029;0.0024;0.9351;-0.1831;-0.0610;-0.0610;0.2692;0.0330;-92.4994;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63172.917;-0.0015;0.0034;0.9326;-0.3662;-0.1831;0.0000;0.2637;0.0330;-92.4664;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63173.024;0.0000;0.0039;0.9282;-0.2441;-0.0610;-0.0610;0.2582;0.0330;-92.4335;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63173.114;-0.0020;0.0049;0.9355;-0.1221;-0.3052;0.0000;0.2527;0.0330;-92.3895;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63173.248;-0.0010;0.0068;0.9346;0.1831;0.1831;0.0000;0.2527;0.0439;-92.3181;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63173.311;-0.0010;0.0083;0.9399;0.5493;0.6104;-0.1221;0.2417;0.0385;-92.2467;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63173.411;0.0098;-0.0122;0.9604;0.4272;0.1221;0.0000;0.2472;0.0385;-92.1588;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;63173.509;0.0083;-0.0020;0.9736;-0.6714;-0.4272;0.0000;0.2472;0.0439;-92.1094;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
