address;Time(s);ax(g);ay(g);az(g);wx(deg/s);wy(deg/s);wz(deg/s);AngleX(deg);AngleY(deg);AngleZ(deg);T(°);hx;hy;hz;q0;q1;q2;q3 
0x50;41327.847;-0.0015;-0.0015;0.9985;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1793;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41327.994;-0.0015;-0.0005;0.9990;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1793;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41328.045;-0.0005;-0.0010;1.0010;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1793;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41328.164;-0.0010;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1848;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41328.243;-0.0005;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1848;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41328.342;-0.0005;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0494;143.1903;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41328.441;-0.0015;-0.0005;0.9990;0.0000;0.0000;0.0000;-0.0275;0.0494;143.1903;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41328.539;-0.0015;-0.0010;1.0024;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1958;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41328.658;-0.0010;0.0000;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1903;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41328.737;-0.0010;-0.0010;0.9990;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1848;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41328.876;-0.0015;-0.0005;1.0000;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1848;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41328.935;-0.0005;-0.0010;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1793;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41329.066;-0.0010;-0.0010;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1793;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41329.203;-0.0010;-0.0005;0.9990;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1683;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41329.232;-0.0010;0.0000;0.9990;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1683;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41329.331;-0.0010;0.0000;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1683;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41329.476;-0.0015;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1738;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41329.53;-0.0010;-0.0010;1.0000;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1848;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41329.628;-0.0005;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1793;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41329.727;-0.0020;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1683;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41329.89;-0.0010;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1683;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41329.925;-0.0010;0.0000;1.0000;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1573;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41330.098;-0.0010;-0.0005;0.9990;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1573;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41330.123;-0.0015;-0.0010;0.9990;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1464;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41330.271;-0.0005;0.0000;0.9995;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1409;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41330.321;-0.0015;-0.0005;1.0000;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1409;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41330.488;-0.0015;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1409;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41330.519;-0.0005;-0.0010;1.0000;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1464;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41330.707;-0.0005;-0.0015;0.9990;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1464;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41330.719;-0.0010;-0.0010;0.9990;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1519;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41330.854;-0.0005;-0.0005;0.9990;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1519;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41330.915;-0.0010;-0.0005;1.0000;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1519;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41331.067;-0.0005;-0.0010;0.9990;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1354;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41331.114;-0.0005;-0.0005;1.0000;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1354;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41331.271;-0.0010;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1299;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41331.312;-0.0010;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1299;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41331.484;-0.0010;-0.0010;0.9985;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1299;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41331.509;-0.0010;-0.0005;0.9980;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1244;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41331.714;-0.0010;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1244;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41331.715;-0.0015;-0.0005;1.0000;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1299;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41331.806;-0.0015;-0.0005;1.0000;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1299;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41331.935;-0.0005;-0.0010;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1299;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41332.005;-0.0010;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1244;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41332.136;-0.0010;0.0000;0.9990;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1134;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41332.298;-0.0010;0.0000;0.9990;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1134;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41332.302;-0.0010;-0.0005;0.9990;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1134;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41332.4;-0.0010;-0.0005;0.9990;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1244;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41332.507;-0.0005;-0.0015;0.9990;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1299;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41332.599;-0.0010;-0.0005;0.9990;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1299;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41332.717;-0.0015;-0.0005;1.0000;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1134;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41332.797;-0.0010;-0.0010;0.9990;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1134;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41332.918;-0.0005;-0.0005;0.9990;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1079;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41332.995;-0.0010;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1134;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41333.137;-0.0015;0.0000;0.9995;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1134;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41333.192;-0.0010;-0.0010;0.9980;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1189;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41333.362;-0.0010;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1354;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41333.391;-0.0020;0.0000;0.9990;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1354;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41333.504;-0.0010;-0.0010;1.0000;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1409;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41333.589;-0.0010;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0220;0.0549;143.1409;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
0x50;41333.716;-0.0005;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0275;0.0549;143.1464;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
