StartTime: 2022-10-17 10:45:34.628
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3 
0x50	11:24:40.802	-0.0005	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0275	123.1183	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	11:24:40.902	-0.0005	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0275	123.1183	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	11:24:41.001	-0.0005	0.0000	0.9990	0.0000	0.0000	0.0000	0.0000	0.0275	123.1073	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	11:24:41.100	-0.0010	-0.0005	1.0000	0.0000	0.0000	0.0000	0.0000	0.0275	123.1128	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	11:24:41.198	-0.0005	0.0000	0.9990	0.0000	0.0000	0.0000	0.0000	0.0330	123.1128	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	11:24:41.297	-0.0010	0.0000	0.9990	0.0000	0.0000	0.0000	0.0000	0.0330	123.1128	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	11:24:41.396	-0.0010	0.0000	0.9985	0.0000	0.0000	0.0000	0.0000	0.0330	123.1128	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	11:24:41.495	-0.0005	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0330	123.1183	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	11:24:41.594	-0.0015	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0330	123.1238	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	11:24:41.693	-0.0010	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0330	123.1183	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
