time;gFx;gFy;gFz;TgF
0.002520;-0.0103;-0.0107;1.0083;1.008
0.002938;-0.0100;-0.0100;1.0090;1.009
0.003217;-0.0081;-0.0103;1.0083;1.008
0.003498;-0.0078;-0.0112;1.0044;1.004
0.003769;-0.0073;-0.0112;1.0032;1.003
0.004034;-0.0064;-0.0115;1.0014;1.002
0.004720;-0.0086;-0.0115;1.0058;1.006
0.007658;-0.0090;-0.0120;1.0085;1.009
0.010419;-0.0100;-0.0117;1.0112;1.011
0.011241;-0.0110;-0.0115;1.0129;1.013
0.012885;-0.0125;-0.0125;1.0110;1.011
0.014839;-0.0142;-0.0115;1.0110;1.011
0.017027;-0.0134;-0.0115;1.0115;1.012
0.018811;-0.0110;-0.0115;1.0102;1.010
0.020834;-0.0117;-0.0115;1.0088;1.009
0.033053;-0.0107;-0.0112;1.0083;1.008
0.033705;-0.0086;-0.0107;1.0054;1.005
0.034036;-0.0078;-0.0120;1.0063;1.006
0.034365;-0.0081;-0.0120;1.0080;1.008
0.034783;-0.0103;-0.0127;1.0090;1.009
0.035419;-0.0105;-0.0122;1.0093;1.009
0.035788;-0.0103;-0.0129;1.0115;1.012
0.036952;-0.0107;-0.0139;1.0110;1.011
0.039676;-0.0107;-0.0144;1.0102;1.010
0.041510;-0.0110;-0.0142;1.0105;1.011
0.048725;-0.0115;-0.0122;1.0085;1.009
0.049332;-0.0110;-0.0103;1.0080;1.008
0.049657;-0.0105;-0.0098;1.0071;1.007
0.049962;-0.0093;-0.0125;1.0075;1.008
0.050862;-0.0090;-0.0115;1.0068;1.007
0.052770;-0.0083;-0.0120;1.0061;1.006
0.054926;-0.0088;-0.0120;1.0071;1.007
0.058977;-0.0105;-0.0122;1.0088;1.009
0.059509;-0.0105;-0.0117;1.0088;1.009
0.063402;-0.0098;-0.0112;1.0088;1.009
0.063927;-0.0090;-0.0115;1.0093;1.009
0.064995;-0.0107;-0.0122;1.0102;1.010
0.067045;-0.0098;-0.0117;1.0102;1.010
0.068775;-0.0098;-0.0100;1.0083;1.008
0.070831;-0.0095;-0.0105;1.0075;1.008
0.074349;-0.0081;-0.0110;1.0078;1.008
0.075303;-0.0076;-0.0110;1.0100;1.010
0.077033;-0.0076;-0.0105;1.0107;1.011
0.079210;-0.0086;-0.0098;1.0095;1.010
0.081043;-0.0090;-0.0103;1.0090;1.009
0.082957;-0.0095;-0.0105;1.0097;1.010
0.084811;-0.0093;-0.0112;1.0085;1.009
0.086885;-0.0100;-0.0105;1.0085;1.009
0.089174;-0.0103;-0.0112;1.0085;1.009
0.091111;-0.0105;-0.0110;1.0102;1.010
0.093020;-0.0093;-0.0105;1.0100;1.010
0.095101;-0.0095;-0.0100;1.0100;1.010
0.096983;-0.0103;-0.0103;1.0095;1.010
0.098994;-0.0090;-0.0103;1.0095;1.010
0.101276;-0.0081;-0.0110;1.0085;1.009
0.102906;-0.0076;-0.0117;1.0073;1.007
0.104795;-0.0088;-0.0120;1.0080;1.008
0.107433;-0.0083;-0.0112;1.0093;1.009
0.109201;-0.0090;-0.0110;1.0088;1.009
0.111225;-0.0100;-0.0107;1.0093;1.009
0.113103;-0.0105;-0.0117;1.0093;1.009
0.114923;-0.0103;-0.0107;1.0095;1.010
0.116964;-0.0120;-0.0100;1.0097;1.010
0.119092;-0.0110;-0.0112;1.0100;1.010
0.120963;-0.0112;-0.0110;1.0093;1.009
0.125653;-0.0098;-0.0120;1.0085;1.009
0.126227;-0.0090;-0.0112;1.0093;1.009
0.129497;-0.0090;-0.0107;1.0090;1.009
0.130924;-0.0093;-0.0098;1.0093;1.009
0.132161;-0.0100;-0.0112;1.0085;1.009
0.133735;-0.0103;-0.0117;1.0088;1.009
0.135387;-0.0112;-0.0115;1.0088;1.009
0.136861;-0.0110;-0.0110;1.0088;1.009
0.139035;-0.0117;-0.0115;1.0095;1.010
0.141334;-0.0103;-0.0115;1.0100;1.010
0.143272;-0.0107;-0.0115;1.0100;1.010
0.145067;-0.0107;-0.0117;1.0093;1.009
