address;Time(s);ax(g);ay(g);az(g);wx(deg/s);wy(deg/s);wz(deg/s);AngleX(deg);AngleY(deg);AngleZ(deg);T(°);hx;hy;hz;q0;q1;q2;q3 
['0.1'];0.1;0.1;0.1;0.05;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
['0x50'];56163.398;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0055;112.3956;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56163.495;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0055;112.3956;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56163.594;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0055;112.3956;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56163.706;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0055;112.3901;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56163.791;-0.0005;0.0000;1.0005;0.0000;0.0000;0.0000;0.0000;0.0055;112.3846;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56163.939;0.0000;-0.0005;1.0005;0.0000;0.0000;0.0000;0.0000;0.0055;112.3901;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56163.989;0.0000;0.0000;0.9995;0.0000;0.0000;0.0000;0.0000;0.0055;112.3901;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56164.088;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;-0.0055;0.0055;112.3901;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56164.215;0.0005;-0.0005;1.0000;0.0000;0.0000;0.0000;0.0000;0.0055;112.3901;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56164.286;-0.0005;-0.0005;1.0005;0.0000;0.0000;0.0000;-0.0055;0.0055;112.3901;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56164.417;0.0000;-0.0005;0.9995;0.0000;0.0000;0.0000;-0.0055;0.0055;112.3901;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56164.484;-0.0005;0.0000;1.0010;0.0000;0.0000;0.0000;-0.0055;0.0055;112.3901;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56164.592;-0.0005;0.0000;1.0005;0.0000;0.0000;0.0000;-0.0055;0.0055;112.3956;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56164.681;0.0000;0.0005;1.0005;0.0000;0.0000;0.0000;-0.0055;0.0055;112.3901;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56164.78;-0.0005;0.0000;1.0005;0.0000;0.0000;0.0000;-0.0055;0.0055;112.3901;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56164.878;0.0000;-0.0005;1.0005;0.0000;0.0000;0.0000;-0.0055;0.0055;112.3846;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56165.014;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;-0.0055;0.0055;112.3792;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56165.076;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;-0.0055;0.0055;112.3792;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56165.22;-0.0005;0.0000;1.0000;0.0000;0.0000;0.0000;-0.0055;0.0055;112.3792;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56165.273;0.0000;0.0000;1.0005;0.0000;0.0000;0.0000;-0.0055;0.0055;112.3846;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
['0x50'];56165.429;0.0000;-0.0005;1.0000;0.0000;0.0000;0.0000;-0.0055;0.0055;112.3792;0.0000;0;0;0;0.00000;0.00000;0.00000;0.00000 
