address;Time(s);ax(g);ay(g);az(g);wx(deg/s);wy(deg/s);wz(deg/s);AngleX(deg);AngleY(deg);AngleZ(deg);T(°);hx;hy;hz;q0;q1;q2;q3 
['0.1'];0.1;0.1;0.1;0.05;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
['0x50'];63028.438;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;135.3571;22.6200;189;-271;-287;-0.30145;-0.00043;0.00360;-0.95346 
['0x50'];63028.536;-0.0005;0.0000;0.9985;0.0000;0.0000;0.0000;0.0000;0.0000;135.3571;22.6200;189;-271;-287;-0.30145;-0.00043;0.00360;-0.95346 
['0x50'];63028.635;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;135.3571;22.6200;189;-271;-287;-0.30145;-0.00043;0.00360;-0.95346 
['0x50'];63028.734;0.0000;-0.0005;0.9990;0.0000;0.0000;0.0000;0.0000;0.0000;135.3625;22.6200;189;-271;-287;-0.30145;-0.00043;0.00360;-0.95346 
['0x50'];63028.833;0.0000;0.0000;0.9995;0.0000;0.0000;0.0000;0.0000;0.0000;135.3625;22.6200;189;-271;-287;-0.30145;-0.00043;0.00360;-0.95346 
['0x50'];63028.932;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;135.3571;22.6200;189;-271;-287;-0.30145;-0.00043;0.00360;-0.95346 
['0x50'];63029.031;-0.0005;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;135.3571;22.6200;189;-271;-287;-0.30145;-0.00043;0.00360;-0.95346 
['0x50'];63029.13;0.0000;0.0005;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;135.3571;22.6200;189;-271;-287;-0.30145;-0.00043;0.00360;-0.95346 
['0x50'];63029.228;0.0000;0.0005;1.0005;0.0000;0.0000;0.0000;0.0000;0.0000;135.3625;22.6200;189;-271;-287;-0.30145;-0.00043;0.00360;-0.95346 
['0x50'];63029.327;0.0000;0.0005;0.9995;0.0000;0.0000;0.0000;0.0000;0.0000;135.3625;22.6200;189;-271;-287;-0.30145;-0.00043;0.00360;-0.95346 
['0x50'];63029.426;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;135.3571;22.6200;189;-271;-287;-0.30145;-0.00043;0.00360;-0.95346 
['0x50'];63029.524;0.0000;0.0005;1.0005;0.0000;0.0000;0.0000;0.0000;0.0000;135.3625;22.6200;189;-271;-287;-0.30145;-0.00043;0.00360;-0.95346 
['0x50'];63029.623;0.0000;0.0000;0.9990;0.0000;0.0000;0.0000;0.0000;0.0000;135.3680;22.6200;189;-271;-287;-0.30145;-0.00043;0.00360;-0.95346 
