"PTor-timestamp","PTor-servo1","PTor-servo4","PTor-servo5","PTor-servo2","PTor-servo3","PTor-servo6","DTor-timestamp","DTor-servo1","DTor-servo4","DTor-servo5","DTor-servo2","DTor-servo3","DTor-servo6",,"PTal-timestamp","PTal-servo1","PTal-servo4","PTal-servo5","PTal-servo2","PTal-servo3","PTal-servo6","DTal-timestamp","DTal-servo1","DTal-servo4","DTal-servo5","DTal-servo2","DTal-servo3","DTal-servo6","operationApplied",
"-1","180.0","180.0","180.0","165.0","180.0","73.0","-1","180.0","180.0","180.0","165.0","180.0","73.0"," ","0","90.0","90.0","90.0","90.0","90.0","73.0","-","-","-","-","-","-","-","Deletion"
"0","90.0","90.0","90.0","90.0","90.0","73.0","0","90.0","90.0","90.0","90.0","90.0","73.0"," ","100","90.0","90.0","90.0","90.0","90.0","73.0","-","-","-","-","-","-","-","Deletion"
"100","90.0","90.0","90.0","90.0","90.0","73.0","100","90.0","108.0","90.0","90.0","110.0","59.0"," ","200","90.0","90.0","90.0","90.0","90.0","73.0","0","90.0","90.0","90.0","90.0","90.0","73.0","Match"
"200","90.0","90.0","90.0","90.0","90.0","73.0","200","90.0","126.0","90.0","90.0","130.0","45.0"," ","300","90.0","100.0","90.0","90.0","101.0","65.0","-","-","-","-","-","-","-","Deletion"
"300","90.0","100.0","90.0","90.0","101.0","65.0","300","90.0","145.0","90.0","90.0","150.0","31.0"," ","400","90.0","112.0","90.0","90.0","115.0","55.0","100","90.0","108.0","90.0","90.0","110.0","59.0","Match"
"400","90.0","112.0","90.0","90.0","115.0","55.0","400","90.0","163.0","90.0","90.0","170.0","17.0"," ","500","90.0","125.0","90.0","90.0","129.0","45.0","200","90.0","126.0","90.0","90.0","130.0","45.0","Match"
"500","90.0","125.0","90.0","90.0","129.0","45.0","500","90.0","172.0","90.0","90.0","180.0","10.0"," ","600","90.0","138.0","90.0","90.0","143.0","35.0","-","-","-","-","-","-","-","Deletion"
"600","90.0","138.0","90.0","90.0","143.0","35.0","600","90.0","172.0","90.0","90.0","180.0","10.0"," ","700","90.0","151.0","90.0","90.0","157.0","25.0","300","90.0","145.0","90.0","90.0","150.0","31.0","Match"
"700","90.0","151.0","90.0","90.0","157.0","25.0","700","90.0","172.0","90.0","90.0","180.0","10.0"," ","800","90.0","163.0","90.0","90.0","171.0","16.0","400","90.0","163.0","90.0","90.0","170.0","17.0","Match"
"800","90.0","163.0","90.0","90.0","171.0","16.0","800","90.0","172.0","90.0","90.0","180.0","10.0"," ","900","90.0","172.0","90.0","90.0","180.0","10.0","500","90.0","172.0","90.0","90.0","180.0","10.0","Match"
